time	V(probe_1)	V(probe_2)	V(probe_3)
6.236100836583971e-09	9.432082e-04	1.475612e-01	1.055595e-03
6.245866461583971e-09	8.806514e-04	1.476920e-01	1.004204e-03
6.255632086583971e-09	8.196803e-04	1.478391e-01	9.651513e-04
6.265397711583971e-09	7.612965e-04	1.480027e-01	9.347796e-04
6.275163336583971e-09	7.068279e-04	1.481791e-01	9.089031e-04
6.284928961583971e-09	6.576565e-04	1.483616e-01	8.833958e-04
6.294694586583971e-09	6.149210e-04	1.485411e-01	8.547565e-04
6.304460211583970e-09	5.792524e-04	1.487080e-01	8.205572e-04
6.314225836583970e-09	5.505921e-04	1.488537e-01	7.797025e-04
6.323991461583970e-09	5.281311e-04	1.489721e-01	7.324651e-04
6.333757086583970e-09	5.103829e-04	1.490603e-01	6.803001e-04
6.343522711583970e-09	4.953790e-04	1.491189e-01	6.254818e-04
6.353288336583970e-09	4.809545e-04	1.491524e-01	5.706350e-04
6.363053961583970e-09	4.650711e-04	1.491673e-01	5.182476e-04
6.372819586583970e-09	4.461218e-04	1.491719e-01	4.702542e-04
6.382585211583970e-09	4.231632e-04	1.491743e-01	4.277576e-04
6.392350836583970e-09	3.960372e-04	1.491813e-01	3.909318e-04
6.402116461583970e-09	3.653616e-04	1.491976e-01	3.591121e-04
6.411882086583969e-09	3.323971e-04	1.492249e-01	3.310422e-04
6.421647711583969e-09	2.988149e-04	1.492623e-01	3.052218e-04
6.431413336583969e-09	2.664082e-04	1.493067e-01	2.802807e-04
6.441178961583969e-09	2.367991e-04	1.493536e-01	2.553030e-04
6.450944586583969e-09	2.111905e-04	1.493985e-01	2.300384e-04
6.460710211583969e-09	1.902045e-04	1.494374e-01	2.049615e-04
6.470475836583969e-09	1.738294e-04	1.494680e-01	1.811697e-04
6.480241461583969e-09	1.614802e-04	1.494902e-01	1.601434e-04
6.490007086583969e-09	1.521567e-04	1.495057e-01	1.434188e-04
6.499772711583969e-09	1.446615e-04	1.495179e-01	1.322369e-04
6.509538336583969e-09	1.378398e-04	1.495310e-01	1.272404e-04
6.519303961583968e-09	1.307906e-04	1.495492e-01	1.282771e-04
6.529069586583968e-09	1.230144e-04	1.495756e-01	1.343480e-04
6.538835211583968e-09	1.144716e-04	1.496116e-01	1.437123e-04
6.548600836583968e-09	1.055445e-04	1.496568e-01	1.541307e-04
6.558366461583968e-09	9.691538e-05	1.497084e-01	1.632028e-04
6.568132086583968e-09	8.938714e-05	1.497623e-01	1.687382e-04
6.577897711583968e-09	8.368383e-05	1.498133e-01	1.690954e-04
6.587663336583968e-09	8.027087e-05	1.498563e-01	1.634289e-04
6.597428961583968e-09	7.922979e-05	1.498871e-01	1.518030e-04
6.607194586583968e-09	8.021138e-05	1.499032e-01	1.351534e-04
6.616960211583968e-09	8.247537e-05	1.499039e-01	1.151099e-04
6.626725836583967e-09	8.500867e-05	1.498911e-01	9.371057e-05
6.636491461583967e-09	8.669915e-05	1.498682e-01	7.306380e-05
6.646257086583967e-09	8.653188e-05	1.498400e-01	5.501571e-05
6.656022711583967e-09	8.377120e-05	1.498119e-01	4.088115e-05
6.665788336583967e-09	7.809493e-05	1.497887e-01	3.128137e-05
6.675553961583967e-09	6.965645e-05	1.497741e-01	2.611093e-05
6.685319586583967e-09	5.906382e-05	1.497703e-01	2.463249e-05
6.695085211583967e-09	4.728068e-05	1.497772e-01	2.567500e-05
6.704850836583967e-09	3.546752e-05	1.497935e-01	2.789333e-05
6.714616461583967e-09	2.479215e-05	1.498162e-01	3.003801e-05
6.724382086583966e-09	1.624332e-05	1.498416e-01	3.118467e-05
6.734147711583966e-09	1.047980e-05	1.498662e-01	3.088241e-05
6.743913336583966e-09	7.739959e-06	1.498869e-01	2.919733e-05
6.753678961583966e-09	7.825631e-06	1.499019e-01	2.664853e-05
6.763444586583966e-09	1.015998e-05	1.499107e-01	2.405400e-05
6.773210211583966e-09	1.390636e-05	1.499143e-01	2.232066e-05
6.782975836583966e-09	1.812442e-05	1.499146e-01	2.222197e-05
6.792741461583966e-09	2.193431e-05	1.499140e-01	2.420779e-05
6.802507086583966e-09	2.465933e-05	1.499150e-01	2.828324e-05
6.812272711583966e-09	2.592264e-05	1.499196e-01	3.397956e-05
6.822038336583966e-09	2.568327e-05	1.499287e-01	4.042154e-05
6.831803961583965e-09	2.420787e-05	1.499421e-01	4.647747e-05
6.841569586583965e-09	2.198718e-05	1.499584e-01	5.096254e-05
6.851335211583965e-09	1.961556e-05	1.499756e-01	5.285641e-05
6.861100836583965e-09	1.765823e-05	1.499908e-01	5.149425e-05
6.870866461583965e-09	1.653195e-05	1.500017e-01	4.669572e-05
6.880632086583965e-09	1.642142e-05	1.500062e-01	3.880856e-05
6.890397711583965e-09	1.724609e-05	1.500034e-01	2.865950e-05
6.900163336583965e-09	1.868197e-05	1.499934e-01	1.742239e-05
6.909928961583965e-09	2.023240e-05	1.499778e-01	6.428070e-06
6.919694586583965e-09	2.133288e-05	1.499589e-01	-3.049377e-06
6.929460211583965e-09	2.146878e-05	1.499395e-01	-9.992002e-06
6.939225836583964e-09	2.028296e-05	1.499227e-01	-1.378860e-05
6.948991461583964e-09	1.765287e-05	1.499110e-01	-1.431188e-05
6.958757086583964e-09	1.372284e-05	1.499061e-01	-1.191136e-05
6.968522711583964e-09	8.885941e-06	1.499085e-01	-7.326663e-06
6.978288336583964e-09	3.719398e-06	1.499179e-01	-1.539806e-06
6.988053961583964e-09	-1.121454e-06	1.499324e-01	4.411791e-06
6.997586450882216e-09	-4.911865e-06	1.499496e-01	9.479118e-06
7.007352075882216e-09	-7.342971e-06	1.499676e-01	1.324802e-05
7.017117700882216e-09	-8.042583e-06	1.499837e-01	1.527615e-05
7.026883325882216e-09	-6.984068e-06	1.499959e-01	1.560325e-05
7.036648950882216e-09	-4.410885e-06	1.500033e-01	1.459714e-05
7.046414575882216e-09	-7.827685e-07	1.500057e-01	1.284094e-05
7.056180200882215e-09	3.306139e-06	1.500039e-01	1.099373e-05
7.065945825882215e-09	7.229160e-06	1.499991e-01	9.645727e-06
7.075711450882215e-09	1.043036e-05	1.499933e-01	9.195835e-06
7.085477075882215e-09	1.251096e-05	1.499882e-01	9.774207e-06
7.095242700882215e-09	1.328446e-05	1.499850e-01	1.122288e-05
7.105008325882215e-09	1.279196e-05	1.499846e-01	1.313615e-05
7.114773950882215e-09	1.127694e-05	1.499869e-01	1.495084e-05
7.124539575882215e-09	9.126012e-06	1.499914e-01	1.606752e-05
7.134305200882215e-09	6.787880e-06	1.499968e-01	1.597833e-05
7.144070825882215e-09	4.686523e-06	1.500017e-01	1.437646e-05
7.153836450882214e-09	3.144601e-06	1.500048e-01	1.122647e-05
7.163602075882214e-09	2.330753e-06	1.500050e-01	6.782527e-06
7.173367700882214e-09	2.239342e-06	1.500019e-01	1.551624e-06
7.183133325882214e-09	2.704856e-06	1.499956e-01	-3.790682e-06
7.192898950882214e-09	3.446595e-06	1.499870e-01	-8.515884e-06
7.202664575882214e-09	4.133832e-06	1.499775e-01	-1.196784e-05
7.212430200882214e-09	4.458142e-06	1.499685e-01	-1.367484e-05
7.222195825882214e-09	4.198759e-06	1.499617e-01	-1.342838e-05
7.231961450882214e-09	3.268622e-06	1.499583e-01	-1.131517e-05
7.241727075882214e-09	1.732835e-06	1.499590e-01	-7.697725e-06
7.251492700882214e-09	-2.032944e-07	1.499637e-01	-3.148207e-06
7.261258325882213e-09	-2.233615e-06	1.499719e-01	1.651350e-06
7.271023950882213e-09	-4.009838e-06	1.499824e-01	6.023897e-06
7.280789575882213e-09	-5.208087e-06	1.499936e-01	9.406482e-06
7.290555200882213e-09	-5.590623e-06	1.500041e-01	1.143470e-05
7.300320825882213e-09	-5.051281e-06	1.500123e-01	1.198862e-05
7.310086450882213e-09	-3.636470e-06	1.500175e-01	1.119389e-05
7.319852075882213e-09	-1.538262e-06	1.500190e-01	9.379914e-06
7.329617700882213e-09	9.386163e-07	1.500171e-01	7.004872e-06
7.339383325882213e-09	3.429414e-06	1.500125e-01	4.562717e-06
7.349148950882213e-09	5.571653e-06	1.500063e-01	2.490101e-06
7.358914575882213e-09	7.065693e-06	1.499997e-01	1.090231e-06
7.368680200882212e-09	7.722791e-06	1.499939e-01	4.868506e-07
7.378445825882212e-09	7.492461e-06	1.499898e-01	6.153514e-07
7.388211450882212e-09	6.464962e-06	1.499878e-01	1.250824e-06
7.397977075882212e-09	4.849355e-06	1.499880e-01	2.065945e-06
7.407742700882212e-09	2.931951e-06	1.499899e-01	2.706306e-06
7.417508325882212e-09	1.023359e-06	1.499929e-01	2.867997e-06
7.427273950882212e-09	-5.959435e-07	1.499959e-01	2.362389e-06
7.437039575882212e-09	-1.721702e-06	1.499982e-01	1.156022e-06
7.446805200882212e-09	-2.255750e-06	1.499991e-01	-6.213820e-07
7.456570825882212e-09	-2.215028e-06	1.499983e-01	-2.701516e-06
7.466336450882212e-09	-1.719151e-06	1.499959e-01	-4.729225e-06
7.476102075882212e-09	-9.598625e-07	1.499923e-01	-6.330974e-06
7.485867700882212e-09	-1.285122e-07	1.499883e-01	-7.326908e-06
7.490234375000001e-09	2.235733e-07	1.499865e-01	-7.517038e-06
7.491266651764423e-09	2.980702e-07	1.499861e-01	-7.514904e-06
7.493331205293267e-09	4.315284e-07	1.499853e-01	-7.452259e-06
7.495870892942313e-09	5.731882e-07	1.499845e-01	-7.304622e-06
7.500000000000001e-09	7.692461e-07	1.499832e-01	-6.962358e-06
7.500412910705770e-09	7.833831e-07	1.499831e-01	-6.913102e-06
7.501238732117308e-09	8.091955e-07	1.499829e-01	-6.809050e-06
7.502890374940382e-09	8.439566e-07	1.499825e-01	-6.574522e-06
7.506193660586533e-09	7.313214e-07	1.499820e-01	-6.005067e-06
7.512800231878834e-09	-1.299933e-06	1.499818e-01	-4.574929e-06
7.522565856878834e-09	-1.216485e-05	1.499829e-01	-2.037860e-06
7.532331481878834e-09	-4.009060e-05	1.499849e-01	6.910773e-07
7.542097106878834e-09	-9.518709e-05	1.499855e-01	3.127817e-06
7.551862731878834e-09	-1.828830e-04	1.499792e-01	4.595955e-06
7.561628356878834e-09	-3.015578e-04	1.499570e-01	4.313806e-06
7.571393981878834e-09	-4.436707e-04	1.499050e-01	1.448215e-06
7.581159606878834e-09	-5.998939e-04	1.498056e-01	-4.775348e-06
7.590925231878834e-09	-7.635220e-04	1.496390e-01	-1.489216e-05
7.600690856878834e-09	-9.325985e-04	1.493858e-01	-2.895701e-05
7.610456481878833e-09	-1.108917e-03	1.490307e-01	-4.628341e-05
7.620222106878833e-09	-1.295005e-03	1.485653e-01	-6.522953e-05
7.629987731878833e-09	-1.491164e-03	1.479896e-01	-8.310464e-05
7.639753356878833e-09	-1.694238e-03	1.473133e-01	-9.625380e-05
7.649518981878833e-09	-1.898473e-03	1.465539e-01	-1.003418e-04
7.659284606878833e-09	-2.097542e-03	1.457351e-01	-9.081163e-05
7.669050231878833e-09	-2.286365e-03	1.448836e-01	-6.345232e-05
7.678815856878833e-09	-2.461733e-03	1.440253e-01	-1.498382e-05
7.688581481878833e-09	-2.621695e-03	1.431826e-01	5.643506e-05
7.698347106878833e-09	-2.764423e-03	1.423709e-01	1.508571e-04
7.708112731878833e-09	-2.887457e-03	1.415974e-01	2.664062e-04
7.717878356878832e-09	-2.987838e-03	1.408601e-01	3.993612e-04
7.727643981878832e-09	-3.062988e-03	1.401485e-01	5.444444e-04
7.737409606878832e-09	-3.111772e-03	1.394453e-01	6.952632e-04
7.747175231878832e-09	-3.135106e-03	1.387297e-01	8.448347e-04
7.756940856878832e-09	-3.135856e-03	1.379797e-01	9.861146e-04
7.766706481878832e-09	-3.118160e-03	1.371754e-01	1.112458e-03
7.776472106878832e-09	-3.086611e-03	1.363008e-01	1.217960e-03
7.786237731878832e-09	-3.045698e-03	1.353454e-01	1.297655e-03
7.796003356878832e-09	-2.999627e-03	1.343039e-01	1.347576e-03
7.805768981878832e-09	-2.952431e-03	1.331755e-01	1.364724e-03
7.815534606878832e-09	-2.908077e-03	1.319627e-01	1.346981e-03
7.825300231878831e-09	-2.870400e-03	1.306693e-01	1.293040e-03
7.835065856878831e-09	-2.842819e-03	1.292985e-01	1.202383e-03
7.844831481878831e-09	-2.828003e-03	1.278525e-01	1.075324e-03
7.854597106878831e-09	-2.827659e-03	1.263310e-01	9.131203e-04
7.864362731878831e-09	-2.842568e-03	1.247323e-01	7.181099e-04
7.874128356878831e-09	-2.872835e-03	1.230533e-01	4.938223e-04
7.883893981878831e-09	-2.918220e-03	1.212916e-01	2.450158e-04
7.893659606878831e-09	-2.978374e-03	1.194464e-01	-2.241201e-05
7.903425231878831e-09	-3.052913e-03	1.175203e-01	-3.016668e-04
7.913190856878831e-09	-3.141313e-03	1.155196e-01	-5.854510e-04
7.922956481878830e-09	-3.242744e-03	1.134547e-01	-8.664773e-04
7.932722106878830e-09	-3.355921e-03	1.113395e-01	-1.138045e-03
7.942487731878830e-09	-3.479047e-03	1.091897e-01	-1.394597e-03
7.952253356878830e-09	-3.609854e-03	1.070209e-01	-1.632191e-03
7.962018981878830e-09	-3.745701e-03	1.048471e-01	-1.848785e-03
7.971784606878830e-09	-3.883705e-03	1.026782e-01	-2.044328e-03
7.981550231878830e-09	-4.021022e-03	1.005190e-01	-2.220999e-03
7.990234375000001e-09	-4.139988e-03	9.860725e-02	-2.364111e-03
8.000000000000000e-09	-4.269841e-03	9.646256e-02	-2.515192e-03
8.006835937500001e-09	-4.353734e-03	9.495922e-02	-2.613710e-03
8.014648437500001e-09	-4.440658e-03	9.322960e-02	-2.724497e-03
8.024414062500001e-09	-4.531942e-03	9.104436e-02	-2.862991e-03
8.034179687500001e-09	-4.594798e-03	8.882269e-02	-3.003686e-03
8.043945312500001e-09	-4.620077e-03	8.655483e-02	-3.148537e-03
8.053710937500001e-09	-4.605260e-03	8.423820e-02	-3.298330e-03
8.063476562500001e-09	-4.555563e-03	8.187848e-02	-3.452628e-03
8.073242187500001e-09	-4.481803e-03	7.949015e-02	-3.610039e-03
8.083007812500001e-09	-4.395671e-03	7.709539e-02	-3.768631e-03
8.092773437500000e-09	-4.305296e-03	7.472106e-02	-3.926456e-03
8.102539062500000e-09	-4.213466e-03	7.239442e-02	-4.082077e-03
8.112304687500000e-09	-4.118971e-03	7.013842e-02	-4.235022e-03
8.122070312500000e-09	-4.019705e-03	6.796774e-02	-4.386053e-03
