time	V(probe_1)	V(probe_2)	V(probe_3)
3.746087088687840e-09	-1.327233e-03	1.387915e-01	5.502646e-04
3.755852713687840e-09	-1.318333e-03	1.380122e-01	6.159777e-04
3.765618338687840e-09	-1.302418e-03	1.371607e-01	6.708183e-04
3.775383963687840e-09	-1.281186e-03	1.362237e-01	7.123088e-04
3.785149588687840e-09	-1.256462e-03	1.351938e-01	7.386083e-04
3.794915213687840e-09	-1.230370e-03	1.340693e-01	7.484850e-04
3.804680838687839e-09	-1.205252e-03	1.328527e-01	7.412413e-04
3.814446463687839e-09	-1.183362e-03	1.315491e-01	7.166273e-04
3.824212088687839e-09	-1.166507e-03	1.301640e-01	6.747713e-04
3.833977713687839e-09	-1.155848e-03	1.287018e-01	6.161502e-04
3.843743338687839e-09	-1.151950e-03	1.271649e-01	5.416041e-04
3.853508963687839e-09	-1.154999e-03	1.255535e-01	4.523844e-04
3.863274588687839e-09	-1.165041e-03	1.238664e-01	3.502131e-04
3.873040213687839e-09	-1.182090e-03	1.221021e-01	2.373221e-04
3.882805838687839e-09	-1.206101e-03	1.202606e-01	1.164415e-04
3.892571463687839e-09	-1.236869e-03	1.183443e-01	-9.284522e-06
3.902337088687838e-09	-1.273971e-03	1.163595e-01	-1.364637e-04
3.912102713687838e-09	-1.316784e-03	1.143160e-01	-2.616921e-04
3.921868338687838e-09	-1.364561e-03	1.122269e-01	-3.818356e-04
3.931633963687838e-09	-1.416495e-03	1.101065e-01	-4.943147e-04
3.941399588687838e-09	-1.471717e-03	1.079691e-01	-5.973486e-04
3.951165213687838e-09	-1.529238e-03	1.058269e-01	-6.901161e-04
3.960930838687838e-09	-1.587906e-03	1.036879e-01	-7.728045e-04
3.970696463687838e-09	-1.646415e-03	1.015548e-01	-8.465321e-04
3.980462088687838e-09	-1.703414e-03	9.942491e-02	-9.131561e-04
3.990227713687838e-09	-1.757667e-03	9.729042e-02	-9.749932e-04
4.000000000000000e-09	-1.809348e-03	9.514567e-02	-1.034522e-03
4.003342095669269e-09	-1.825797e-03	9.440446e-02	-1.054497e-03
4.006684191338538e-09	-1.841290e-03	9.365772e-02	-1.074745e-03
4.010026287007807e-09	-1.855827e-03	9.290544e-02	-1.095265e-03
4.013368382677076e-09	-1.869409e-03	9.214763e-02	-1.116056e-03
4.016710478346345e-09	-1.882034e-03	9.138428e-02	-1.137120e-03
4.020052574015614e-09	-1.893705e-03	9.061539e-02	-1.158456e-03
4.023394669684883e-09	-1.904419e-03	8.984096e-02	-1.180063e-03
4.033160294684883e-09	-1.925587e-03	8.754097e-02	-1.245526e-03
4.042925919684882e-09	-1.929993e-03	8.518232e-02	-1.314310e-03
4.052691544684882e-09	-1.917166e-03	8.277047e-02	-1.385901e-03
4.062457169684882e-09	-1.890518e-03	8.031967e-02	-1.459282e-03
4.072222794684882e-09	-1.855743e-03	7.785250e-02	-1.533169e-03
4.081988419684882e-09	-1.818012e-03	7.539725e-02	-1.606286e-03
4.091754044684882e-09	-1.779854e-03	7.298391e-02	-1.677644e-03
4.101519669684882e-09	-1.740966e-03	7.063931e-02	-1.746773e-03
4.111285294684882e-09	-1.699731e-03	6.838258e-02	-1.813867e-03
4.121050919684882e-09	-1.655163e-03	6.622203e-02	-1.879808e-03
4.130816544684882e-09	-1.607940e-03	6.415406e-02	-1.946048e-03
4.140582169684882e-09	-1.560069e-03	6.216408e-02	-2.014384e-03
4.150347794684881e-09	-1.513732e-03	6.022929e-02	-2.086638e-03
4.160113419684881e-09	-1.470320e-03	5.832253e-02	-2.164318e-03
4.169879044684881e-09	-1.430330e-03	5.641671e-02	-2.248320e-03
4.179644669684881e-09	-1.394052e-03	5.448905e-02	-2.338725e-03
